@context,@type,name,brand,sku,mpn,description,url,image,itemCondition,offers,price,priceCurrency,availability,priceValidUntil,gtin14,date
https://schema.org,Offer,Cucumber Seedless (Price per 250 gms),"{'@type': 'Brand', 'name': 'FFG'}",CU3,,"Health Benefits of Eating Cucumber Seedless-:


It Contains Antioxidants


It Promotes Hydration.


It May Aid in Weight Loss


It Could Promote Regularity

",https://fastandfresh.in/products/cucumber-seedless-price-per-500gms?variant=32820547354712,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/SEEDLESSCU_500x.jpg?v=1598459396,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '13.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/cucumber-seedless-price-per-500gms?variant=32820547354712', 'sku': 'CU3', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",13.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Curry Leaves  (Price per 250 gms),"{'@type': 'Brand', 'name': 'FFG'}",CU4,,"some health benefits of curry leaves you cannot miss:


Relieves morning sickness and nausea


Eliminates bacteria


Good for diabetics.


Reduce stress.

",https://fastandfresh.in/products/curry-leaves?variant=32604290842712,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/curryleaves_500x.jpg?v=1598459353,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '9.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/curry-leaves?variant=32604290842712', 'sku': 'CU4', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",9.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,DATES FARAD (Price per Pkt 500gms),"{'@type': 'Brand', 'name': 'FFG'}",DA1,,"Health benefits of dates: 


Lowers cholesterol


Protein rich


Improves bone health


Strengthens the nervous system


Promotes digestion

",https://fastandfresh.in/products/dates-farad-price-per-pkt-250gms?variant=32885357903960,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/FARADDATES_500x.jpg?v=1599064054,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '196.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/dates-farad-price-per-pkt-250gms?variant=32885357903960', 'sku': 'DA1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",196.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Dhaniya / Coriander  (Price per 100 gms),"{'@type': 'Brand', 'name': 'FFG'}",DH1,,"
Health benefits of Eating Coriander-:


Coriander has multiple health benefits. 

Dietary fiber, manganese, iron and magnesium as well.
Rich in immune-boosting antioxidants
",https://fastandfresh.in/products/coriander-leaves?variant=32604290973784,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/coriander_500x.jpg?v=1599668976,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '5.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/coriander-leaves?variant=32604290973784', 'sku': 'DH1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",5.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Dragon Fruit (Price per pcs/Approx. 400gms to 500gms),"{'@type': 'Brand', 'name': 'FFG'}",DRA1,,"Many benefits of Dragon fruit-:

It can strengthen your immune system

It may help lower your blood sugar. 
It's naturally fat-free and high in fiber. ",https://fastandfresh.in/products/dragon-fruit-price-per-500gms?variant=33284399136856,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/DRAGONFRUITFFG_500x.jpg?v=1599064075,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '80.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/dragon-fruit-price-per-500gms?variant=33284399136856', 'sku': 'DRA1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",80.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,DRUMSTICKS (Price per 250 gms),"{'@type': 'Brand', 'name': 'FFG'}",DR1,,"
Benefits of Drumsticks-:


Regulates blood sugar levels.

Helps improve digestive health.
Helps purifying blood.
Boosts immunity
",https://fastandfresh.in/products/drumsticks-price-per-250-gms?variant=32857301450840,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/fresh-drumstick-500x500_500x.jpg?v=1593016105,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '32.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/drumsticks-price-per-250-gms?variant=32857301450840', 'sku': 'DR1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",32.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Flower onion/Pyaaz ka phool (Price per 250gms),"{'@type': 'Brand', 'name': 'FFG'}",OFL1,,"Here are impressive health benefits of onion flower-:

Packed With Nutrients. 

May Benefit Heart Health. 

Loaded With Antioxidants. 
Contain Cancer-Fighting Compounds. 
Help Control Blood Sugar.
May Boost Bone Density. 
Have Antibacterial Properties. 
May Boost Digestive Health.

",https://fastandfresh.in/products/flower-onion-pyaaz-ka-phool-price-per-250gms?variant=37965325828287,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/onionflower01_500x.png?v=1610525734,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '10.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/flower-onion-pyaaz-ka-phool-price-per-250gms?variant=37965325828287', 'sku': 'OFL1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",10.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Fresh Peas / Mattar (Price per 500 gms),"{'@type': 'Brand', 'name': 'FFG'}",FR1,,"Why Green Peas are Healthy and Nutritious-:


Builds Immunity


Good for eye health


Good for heart


 Weight Loss

",https://fastandfresh.in/products/fresh-peas-mattar-price-per-500gm?variant=32702178754648,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/peas_500x.jpg?v=1598459387,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '22.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/fresh-peas-mattar-price-per-500gm?variant=32702178754648', 'sku': 'FR1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",22.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Fresh Turmeric / Kachi Haldi (Price per 500 gms),"{'@type': 'Brand', 'name': 'FFG'}",FR6,,"

Boosts Digestion


Provides relief from a host of tummy problems


Anti-inflammatory properties


Good for your skin


Excellent antiseptic

",https://fastandfresh.in/products/fresh-turmeric-kachi-haldi?variant=33203155239000,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/kachi-haldi_jpg_500x.png?v=1593016106,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '23.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/fresh-turmeric-kachi-haldi?variant=33203155239000', 'sku': 'FR6', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",23.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
https://schema.org,Offer,Galangal - Thai Ginger (Price per 250 gms),"{'@type': 'Brand', 'name': 'FFG'}",GAL1,,"
Health Benefits of Galangal -:


May protect against infections


May fight inflammation and pain


May protect against certain cancers

",https://fastandfresh.in/products/galangal-thai-ginger-250gms?variant=33110881566808,https://cdn.shopify.com/s/files/1/0279/6876/6040/products/GALANGAL_500x.jpg?v=1598459415,https://schema.org/NewCondition,"[{'@type': 'Offer', 'price': '218.00', 'priceCurrency': 'INR', 'itemCondition': 'https://schema.org/NewCondition', 'url': 'https://fastandfresh.in/products/galangal-thai-ginger-250gms?variant=33110881566808', 'sku': 'GAL1', 'mpn': '', 'availability': 'https://schema.org/InStock', 'priceValidUntil': '2021-02-19', 'gtin14': ''}]",218.00,INR,https://schema.org/InStock,2021-02-19,,2021-01-20
