@context,@type,offers,brand,name,description,category,url,sku,image,availability,price,priceCurrency,priceValidUntil,date
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '299.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-19', 'sku': 'AV1', 'url': 'https://fastandfresh.in/products/avacado-hass-imported-price-per-pc?variant=37571039592614'}]",{'name': 'FFG'},Default Title,"Imported Avocado from Peru. Fresh Stock (Limited Qty.)
",Exotic Vegetables,https://fastandfresh.in/products/avacado-hass-imported-price-per-pc?variant=37571039592614,AV1,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/Avocado-HASS_1024x.jpg?v=1610895220', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/Avocado-HASS_1024x.jpg?v=1610895220', 'name': 'Avacado Hass Imported (Price per Pc) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,299.00,INR,2021-02-19,2021-02-09
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '148.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-19', 'sku': 'AV2', 'url': 'https://fastandfresh.in/products/avacados?variant=37571047260326'}]",{'name': 'FFG'},Default Title,"These avocados are from Coimbatore.
Benefits of these -:


Regulates Blood Pressure. ...


Good for the heart. ...


Boosts fertility. ...


Good for eyes. ...


Good source of folate. ...


Improved digestion. ...

",Exotic Vegetables,https://fastandfresh.in/products/avacados?variant=37571047260326,AV2,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/AVACADO_1024x.jpg?v=1610895381', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/AVACADO_1024x.jpg?v=1610895381', 'name': 'Avacado Indian (Price per Pcs/Approx. 300gms to 350gms )', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,148.00,INR,2021-02-19,2021-02-09
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '48.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-19', 'sku': 'BAB1', 'url': 'https://fastandfresh.in/products/baby-corn-price-per-200gms?variant=37571036184742'}]",{'name': 'FFG'},Default Title,"Here are some essential benefits of baby corn you must know-:


Low In Calories. Baby corn is very low in calories


Rich In Fibre.


Low-Carb Veggie


Nutrient Dense.


Stimulates Digestion


 ",Exotic Vegetables,https://fastandfresh.in/products/baby-corn-price-per-200gms?variant=37571036184742,BAB1,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/BABYCORN_1024x.png?v=1610895131', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/BABYCORN_1024x.png?v=1610895131', 'name': 'Baby-corn (Price per 200gms) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,48.00,INR,2021-02-19,2021-02-09
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '8.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-19', 'sku': 'BA2', 'url': 'https://fastandfresh.in/products/banana?variant=37571044933798'}]",{'name': 'FFG'},Default Title,"
Health benefits of bananas-:



Bananas are respectable sources of vitamin C. ...


Manganese in bananas is good for your skin. ...


Potassium in bananas is good for your heart health and blood pressure. ...



Bananas can aid digestion and help beat gastrointestinal issues. ...

",Fruit,https://fastandfresh.in/products/banana?variant=37571044933798,BA2,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/banana_1024x.png?v=1610895311', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/banana_1024x.png?v=1610895311', 'name': 'Banana  (Price per Pc) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,8.00,INR,2021-02-19,2021-02-09
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '48.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-19', 'sku': 'BAN4', 'url': 'https://fastandfresh.in/products/banana-flower-price-per-pcs-approx-400gms-to-500gms?variant=37571032154278'}]",{'name': 'FFG'},Default Title,"Health Benefits Of Banana Flowers:

Slows The Ageing Process. 
Promotes Kidney Function.

Keeps Infections At Bay. Banana flower seems to be very effective in treating infections in natural ways.


Boosts Mood And Reduces Anxiety. 


",Vegetables,https://fastandfresh.in/products/banana-flower-price-per-pcs-approx-400gms-to-500gms?variant=37571032154278,BAN4,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/Banana-Flower_1024x.png?v=1610895051', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/Banana-Flower_1024x.png?v=1610895051', 'name': 'Banana Flower (Price per Pcs Approx. 400gms to 500gms)', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,48.00,INR,2021-02-19,2021-02-09
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '36.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-19', 'sku': 'BA3', 'url': 'https://fastandfresh.in/products/banana-raw-price-per-500-gms?variant=37571040018598'}]",{'name': 'FFG'},Default Title,"Here are some of the health benefits of Raw bananas-:


Rich in vitamins. ...


Great for diabetics. ...


Raw bananas are rich in fibre. ...


Prevents stomach problems. ...


They help in weight loss. ...


Good for heart health. ...

",Vegetables,https://fastandfresh.in/products/banana-raw-price-per-500-gms?variant=37571040018598,BA3,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/RawBanana_1024x.jpg?v=1610895237', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/RawBanana_1024x.jpg?v=1610895237', 'name': 'Banana Raw (Price per 500 gms) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,36.00,INR,2021-02-19,2021-02-09
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '49.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-19', 'sku': 'BA4', 'url': 'https://fastandfresh.in/products/basil-leaves?variant=37571047194790'}]",{'name': 'FFG'},Default Title,"Benefits of basil leaves you must know-:


Good For Digestion. ...


Anti-inflammatory. ...


Fights free radical activity. ...


Skin Benefits. ...


Fights Depression. ...


Diabetes Management. ...

",Exotic Vegetables,https://fastandfresh.in/products/basil-leaves?variant=37571047194790,BA4,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/basil_1024x.png?v=1610895380', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/basil_1024x.png?v=1610895380', 'name': 'Basil Leaves (Price per 100 gms) - FAST AND FRESH  GLOBAL LLP', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,49.00,INR,2021-02-19,2021-02-09
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '1,595.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-19', 'url': 'https://fastandfresh.in/products/basket-ffg3?variant=37571034906790'}]",{'name': 'FAST AND FRESH GLOBAL LLP'},Default Title,"
 DRAGON FRUIT 1 NOSARDA MELON - 1 NOPINEAPPLE - 1 NOAPPLE GREEN - 2 NOPLUMS IMP - 2 NOORANGE IMP - 6 NOKIWI FRUIT - 3 NOAPPLE ROYAL GALA - 4 NOPEARS IMP - 2 NOANAR - 1 NOGRAPES RED IMP - 500GMS

The Final Price includes Basket cost / Making Charges / Delivery Charges.
* Please note that Fruits and baskets may change according to availability.",BASKET,https://fastandfresh.in/products/basket-ffg3?variant=37571034906790,,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/basket_large_3d422059-5c73-469f-82e5-2c2a2b40b726_1024x.jpg?v=1610895097', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/basket_large_3d422059-5c73-469f-82e5-2c2a2b40b726_1024x.jpg?v=1610895097', 'name': 'BASKET FFG (Large)', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,"1,595.00",INR,2021-02-19,2021-02-09
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '859.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-19', 'sku': 'BASKET 2', 'url': 'https://fastandfresh.in/products/basket-ffg2?variant=37571034939558'}]",{'name': 'FAST AND FRESH GLOBAL LLP'},Default Title,"ANAR - 700gms
ORANGE IMPORTED - 500gms
KIWI IMPORTED - 500gms
PEARS IMPORTED - 500gms
DRAGON FRUIT - 1 Pcs 
APPLE GREEN IMPORTED - 500gms
APPLE RED KINNAUR - 500gms
ORANGE NAGPUR - 500gms
 
The Final Price includes Basket cost / Making Charges / Delivery Charges.
* Please note that Fruits and baskets may change according to availability.",BASKET,https://fastandfresh.in/products/basket-ffg2?variant=37571034939558,BASKET 2,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/MEDIUMBASKET_1024x.jpg?v=1610895098', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/MEDIUMBASKET_1024x.jpg?v=1610895098', 'name': 'BASKET FFG (Medium)', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,859.00,INR,2021-02-19,2021-02-09
http://schema.org,Offer,"[{'@type': 'Offer', 'name': 'Default Title', 'availability': 'https://schema.org/InStock', 'price': '495.00', 'priceCurrency': 'INR', 'priceValidUntil': '2021-02-19', 'sku': 'BASKET 1', 'url': 'https://fastandfresh.in/products/basket-ffg1?variant=37571035365542'}]",{'name': 'FAST AND FRESH GLOBAL LLP'},Default Title,"APPLE KINNAUR - 500gms

APPLE GREEN - 500gms
ORANGE NAGPUR - 500gms
PEARS IMPORTED - 500gms
ANAR - 500gms
 
The Final Price includes Basket cost / Making Charges / Delivery Charges.
* Please note that Fruits and baskets may change according to availability.
",BASKET,https://fastandfresh.in/products/basket-ffg1?variant=37571035365542,BASKET 1,"{'@type': 'ImageObject', 'url': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/baskt_small_3e804bde-6181-4f2d-ad22-a1375c4be7b1_1024x.jpg?v=1610895100', 'image': 'https://cdn.shopify.com/s/files/1/0522/4149/8278/products/baskt_small_3e804bde-6181-4f2d-ad22-a1375c4be7b1_1024x.jpg?v=1610895100', 'name': 'BASKET FFG (Small)', 'width': '1024', 'height': '1024'}",https://schema.org/InStock,495.00,INR,2021-02-19,2021-02-09
